time_s,current_score,candidate_score,uncertainty,gate_condition,action,current_mlu,candidate_mlu
0,0.23535519031141872,0.2297387787341482,0.025,False,keep,0.5954,0.512044
2,0.2211884227418615,0.21916075033971874,0.025,False,keep,0.5638,0.48486799999999997
4,0.23670469878018424,0.2365599787685775,0.025,False,keep,0.5983,0.529
6,0.2322710369559932,0.22746117038268807,0.025,False,keep,0.5887,0.506282
8,0.24602509157509156,0.24456005645339826,0.025,False,keep,0.6178,0.5483
10,0.2353088151717322,0.22970463927080045,0.025,False,keep,0.5953,0.511958
12,0.23782839343851742,0.2345294117647059,0.025,False,keep,0.6007,0.524
14,0.25800400976290094,0.24599347767170035,0.025,False,keep,0.6415,0.5516899999999999
16,0.2370785669743078,0.2310050915086205,0.025,False,keep,0.5991,0.515226
18,0.23277423208191125,0.23039703372403866,0.025,False,keep,0.5898,0.5137
20,0.40332539370078746,0.35342609760878085,0.065,False,keep,0.8222,0.7449
22,0.5760911852166524,0.37036303236797274,0.065,True,defer,0.8823,0.7652
24,0.417973311481923,0.3320289273745375,0.065,True,install,0.8322,0.715692
26,0.5178725475841872,0.38139156193895873,0.065,True,defer,0.8634,0.7772
28,0.5510446708463947,0.38196575157515755,0.065,True,install,0.8724,0.7778
30,0.5165747524752475,0.3942710695569319,0.065,True,defer,0.8586,0.7901
32,0.4785596790205161,0.3513918412883197,0.065,True,install,0.8489,0.7423
34,0.4182633037694013,0.3902543966323667,0.065,False,keep,0.8196,0.7862
36,0.4560021525215252,0.3549306477093207,0.065,True,defer,0.8374,0.7468
38,0.26498178922987836,0.2637382933104631,0.025,False,keep,0.6546,0.5919
40,0.264493437770719,0.26396849852796855,0.025,False,keep,0.6537,0.5924
42,0.28645078657152123,0.26510581638602154,0.025,False,keep,0.6917,0.594862
44,0.25219575446187126,0.24515096047079724,0.025,False,keep,0.6302,0.5497
46,0.2556687327823691,0.25214516129032255,0.025,False,keep,0.637,0.566
48,0.2730471365971593,0.26304921875,0.025,False,keep,0.6691,0.5904
50,0.24666263454975057,0.2547315989254847,0.025,False,keep,0.6191,0.5719
52,0.26810708713570797,0.2529563961822734,0.025,False,keep,0.6603,0.567858
54,0.28417948717948716,0.2739797101449275,0.025,False,keep,0.688,0.6136
56,0.24636811926605506,0.24548929365962177,0.025,False,keep,0.6185,0.5505
58,0.26121895573212256,0.24822935958687684,0.025,False,keep,0.6476,0.556936
60,0.2759199064130101,0.25821050369758775,0.025,False,keep,0.6741,0.579726
62,0.24928423855165066,0.2398373402560602,0.025,False,keep,0.6244,0.5369839999999999
64,0.23670469878018424,0.23073077118085453,0.025,False,keep,0.5983,0.514538
66,0.2564438105117565,0.24799990982867448,0.025,False,keep,0.6385,0.5564
68,0.27499522900763357,0.2672657615480649,0.025,False,keep,0.6725,0.5995
70,0.24195573476702512,0.24046465330444203,0.025,False,keep,0.6094,0.5385
72,0.27937500000000004,0.26332457212713933,0.025,False,keep,0.68,0.591
74,0.22851277407054338,0.23631543681085665,0.025,False,keep,0.5804,0.5284
76,0.22297476857208975,0.22174343036978758,0.025,False,keep,0.5679,0.4916
78,0.22184029790660226,0.2318338046405635,0.025,False,keep,0.5653,0.5173
80,0.2213620697567692,0.23307748123436198,0.025,False,keep,0.5642,0.5204
82,0.2122529308836395,0.22995960196963477,0.025,False,keep,0.5428,0.5126
84,0.23318684949914487,0.2281390005630104,0.025,False,keep,0.5907,0.508002
86,0.2213186453314981,0.2256247191011236,0.025,False,keep,0.5641,0.5016
88,0.22040867579908677,0.2291661422149571,0.025,False,keep,0.562,0.5106
90,0.17668539197812216,0.19679944000694563,0.025,False,keep,0.4515,0.4241
92,0.17914948320413435,0.19520323914541696,0.025,False,keep,0.4582,0.4196
94,0.16876044880785412,0.18986427132303557,0.025,False,keep,0.4296,0.4044
96,0.18681484270093995,0.19793902130260171,0.025,False,keep,0.4787,0.4273
98,0.17540579710144927,0.19658618820468343,0.025,False,keep,0.448,0.4235
100,0.16460212592338086,0.18124703512729615,0.025,False,keep,0.4179,0.3794
102,0.16407258396161756,0.18278395958448304,0.025,False,keep,0.4164,0.3839
104,0.1549114567961961,0.18141750927269795,0.025,False,keep,0.3901,0.3799
106,0.17001428382430764,0.18288663527119192,0.025,False,keep,0.4331,0.3842
108,0.166195567867036,0.18694701986754966,0.025,False,keep,0.4224,0.396
110,0.151281124093473,0.17606510064475545,0.025,False,keep,0.3795,0.3641
112,0.16969142303628038,0.1934733939859901,0.025,False,keep,0.4322,0.4147
114,0.15377762557077626,0.17201234567901233,0.025,False,keep,0.3868,0.352
116,0.14975,0.17455334166146158,0.025,False,keep,0.375,0.3596
118,0.1625589343425753,0.18295510071474985,0.025,False,keep,0.4121,0.3844
120,0.16098170155300473,0.17237918921007883,0.025,False,keep,0.4076,0.3531
122,0.16386098938719615,0.18087224947723982,0.025,False,keep,0.4158,0.3783
124,0.15094036604987932,0.17304698015196154,0.025,False,keep,0.3785,0.3551
126,0.1460987574709028,0.16375594353640416,0.025,False,keep,0.3642,0.327
128,0.15473944954128438,0.17556057420771884,0.025,False,keep,0.3896,0.3626
130,0.1455941903342225,0.1704816273368066,0.025,False,keep,0.3627,0.3474
132,0.1499538116591928,0.174117621162537,0.025,False,keep,0.3756,0.3583
134,0.15618672055427252,0.17005000382321456,0.025,False,keep,0.3938,0.3461
136,0.1634733939859901,0.18429259032205328,0.025,False,keep,0.4147,0.3883
138,0.14475459518599565,0.16483720695833956,0.025,False,keep,0.3602,0.3303
140,0.16129659763313609,0.17181238051187173,0.025,False,keep,0.4085,0.3514
142,0.15443003026337312,0.1727797390428992,0.025,False,keep,0.3887,0.3543
144,0.15186108597285067,0.16905556020703302,0.025,False,keep,0.3812,0.3431
146,0.15336614583333333,0.1727797390428992,0.025,False,keep,0.3856,0.3543
148,0.13516536189621653,0.15699681464398962,0.025,False,keep,0.3313,0.3062
150,0.16608911143796504,0.18542794214332675,0.025,False,keep,0.4221,0.3916
152,0.1512129490897374,0.1704816273368066,0.025,False,keep,0.3793,0.3474
154,0.15718925493121166,0.1769747946936197,0.025,False,keep,0.3967,0.3668
156,0.15788221769499416,0.17751481950601647,0.025,False,keep,0.3987,0.3684
158,0.1483600341758067,0.1719123515347833,0.025,False,keep,0.3709,0.3517
160,0.15594512687427914,0.17883412059901227,0.025,False,keep,0.3931,0.3723
162,0.17138092257147933,0.1890980093676815,0.025,False,keep,0.4369,0.4022
164,0.16129659763313609,0.17788649881046786,0.025,False,keep,0.4085,0.3695
166,0.16573449214026603,0.182647100567721,0.025,False,keep,0.4211,0.3835
168,0.16481416595012896,0.18871547420270496,0.025,False,keep,0.4185,0.4011
170,0.1607369709998314,0.1756614307016167,0.025,False,keep,0.4069,0.3629
172,0.18044450585175553,0.19301587112171836,0.025,False,keep,0.4617,0.4134
174,0.17297042688383749,0.19136661170302724,0.025,False,keep,0.4413,0.4087
176,0.18443813495072023,0.1973687576179697,0.025,False,keep,0.4724,0.4257
178,0.17340526905829595,0.18968998070793489,0.025,False,keep,0.4425,0.4039
180,0.23355431456548348,0.24000931690445307,0.025,False,keep,0.5915,0.5374
182,0.2221887474072367,0.22081996867658576,0.025,False,keep,0.5661,0.4892
184,0.22703688224166468,0.23774534821619311,0.025,False,keep,0.5771,0.5319
186,0.24417357512953367,0.24083784194528876,0.025,False,keep,0.614,0.5394
188,0.22539406938584156,0.22233141864282388,0.025,False,keep,0.5734,0.493124
190,0.218428174423859,0.2343676742233417,0.025,False,keep,0.5574,0.5236
192,0.23778144717075614,0.23152022701061462,0.025,False,keep,0.6006,0.516516
194,0.22157931886055593,0.23335915117978703,0.025,False,keep,0.5647,0.5211
196,0.2277064784053156,0.22535122720897616,0.025,False,keep,0.5786,0.5009
198,0.2518419365721997,0.2444336283185841,0.025,False,keep,0.6295,0.548
200,0.4892380794701986,0.380534544032186,0.065,True,defer,0.849,0.7763
